Altium Designer Pick and Place Locations
C:\Users\cedri\Desktop\FEDEVEL Academy\28 Pins\Design Files\V1I1\Project Outputs for 28Pins_Project_V1I1\Pick Place\Pick Place for 28Pins_Project_V1I1_Pcb(5V_3V3).txt

========================================================================================================================
File Design Information:

Date:       22/06/20
Time:       17:57
Revision:   Not in VersionControl
Variant:    5V/3V3
Units used: mil

Designator    Comment                Layer    Footprint                        Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
"SCKT FOR U1" "28-DIP Socket"        TopLayer 28_DIP_7.62MM_SOCKET             -17410.000    -17390.000    270      "CONN IC DIP SOCKET 28POS TIN"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Z2            CG0603MLC-05E          TopLayer R0603                            268.000       694.472       270      "VARISTOR 0603"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Z1            CG0603MLC-05E          TopLayer R0603                            268.000       812.472       90       "VARISTOR 0603"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Y2            ABM7-8.000MHZ-D2Y-T    TopLayer ABM7_V1_1_BIG                    974.000       1139.543      90       "CRYSTAL 16.0000MHZ 18PF SMD"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Y1            ABM7-10.000MHZ-D2Y-T   TopLayer ABM7_V1_1_BIG                    1586.000      1110.000      180      "CRYSTAL 16.0000MHZ 18PF SMD"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
U7            SN74AHC1G09DBVR        TopLayer DBV_SOT_23_5                     842.520       610.236       360      "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U6            SN74AHC1G09DBVR        TopLayer DBV_SOT_23_5                     2495.000      623.000       270      "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U5            SN74AHC1G09DBVR        TopLayer DBV_SOT_23_5                     213.000       1028.000      90       "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U3            TL1963A-33DCQR         TopLayer DCQ_(R-PDSO-G6)                  622.047       569.882       90       "IC REG LINEAR 3.3V 1.5A SOT223-6"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
U2            ATMEGA16U2-AU          TopLayer TQFP32                           606.299       1181.102      180      "ATmega Series 16 KB Flash 512 B RAM 16 MHz 8-Bit Microcontroller - TQFP-32"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U4            SN74AHC1G09DBVR        TopLayer DBV_SOT_23_5                     709.000       1715.000      0        "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U1            ATMEGA328P-PU          TopLayer 28_DIP_7.62MM                    1714.764      645.000       270      "ATMEGA328P-PU; 8 bit Microcontroller AVR 20MHz 1; 32kb Flash; 2kb RAM; I2C SPI 2"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SW2           1825910-6              TopLayer BP1825910-6                      875.000       196.000       360      "SWITCH TACTILE SPST-NO 0.05A 24V"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SW1           1825910-6              TopLayer BP1825910-6                      2473.425      1122.047      270      "SWITCH TACTILE SPST-NO 0.05A 24V"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
R25           22R                    TopLayer R0805                            1106.000      330.000       180      "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R24           22R                    TopLayer R0805                            2479.000      924.000       270      "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
